country,description,designation,points,price,province,region_1,region_2,variety,winery
US,"
                      Extremely fresh and pungent aromas of smashed strawberries are enhanced by white pepper dust, whole green peppercorns, wet tobacco leaf and the smell of a dewy morning amidst pine trees and chaparral scrub on this wine by Chad Melville. The palate is simply stunning with juniper and pine-needle elements that slip into rich yet tart cherry and baked raspberry, proving extremely dynamic and lovely all around.                      ",Block M,97,60.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Melville
Italy,"
                      Enticingly fragrant, this stunning red opens with delicate but alluring scents of wild berry, Mediterranean brush, rose, crushed rock and a whiff of exotic spice. It's full bodied but loaded with finesse, delivering creamy red cherry, raspberry compote, star anise and white pepper. Taut, refined tannins and lively acidity provide support and balance, while a savory mineral note lingers on the close. Drink 2021–2036.                      ",Contrada G,97,79.0,Sicily & Sardinia,Terre Siciliane,,Nerello Mascalese,Franchetti–Passopisciaro
US,"
                      This is an awesome expression of cool climate Syrah, with rosemary-crusted lamb chops, peppercorns, asphalt and elderberry-jam aromas starting the show. The palate is intense with cracked pepper, bay leaf, rosemary oil and sage, which play against riper black-fruit tones and elegant lavender flavors.                      ",Estate,96,38.0,California,Sta. Rita Hills,Central Coast,Syrah,Melville
US,"
                      The nose of this wine from the folks at Balo Vineyards is full of ripe fruit, giving it a powerful yet nuanced feel. Intense, deep fruit flavor mingles with sage, rhubarb, black tea and a touch of black pepper. It's delicious and complex on the palate, with smooth, fine layers of integrated tannins and acidity. Best after 2023.                      ",Docker Hill Vineyard,96,48.0,California,Mendocino,Mendocino County,Pinot Noir,Bee Hunter
France,"
                      Old vines dating to 1958 are the basis of this concentrated wine. Bold tannins and swathes of black fruits combine with the structure to give a wine that is superb and has an enormous life ahead. Wait at least until 2025.                      ",,96,336.0,Burgundy,Latricières-Chambertin,,Pinot Noir,Domaine Faiveley
France,"
                      Even among a lineup of fantastic peers in a fantastic vintage, this bottling of Les Souteyrades is a stunner. It's intensely rich, bursting with mulberry and cherry flavors, yet not brawny or dense. Finessed and fine in texture, it's marked by soft, chalky tannins and bright, sunny acidity. The finish is long, offering lingering hints of crushed earth and garrigue. A treat to savor now–2030.                      ",Les Souteyrades,96,33.0,Rhône Valley,Gigondas,,Grenache-Mourvèdre,Domaine Saint Damien
US,"
                      Mint, chocolate and cherry flavors intermingle in this dry, full-bodied and firmly tannic wine blended from Bordeaux grape varieties. It offers plenty of blackberry notes shaded by black pepper and smoke and will stand up to the juiciest protein you can order.                      ",Skyside,90,20.0,California,North Coast,North Coast,Claret,Newton
Australia,"
                      This is a rich sparkling for those who like their bubbles full throttle. Enticing notes of bruised red apples, apricots, figs and honeyed nuts run throughout the wine. The mouthfeel is creamy, carried by fine bubbles. Less honeyed than the nose, the palate brings earthier flavors of wet hay and strawberry leaf.                      ",Sparkling,90,30.0,South Australia,Adelaide Hills,,Champagne Blend,Sidewood
US,"
                      This is a sort of ad hoc field blend, composed of estate-grown fruit that didn't find its way into any of the many single varietal blends. Ten different grapes are in the mix, but more than half, unsurprisingly, is Tempranillo. It blends seamlessly, a potpourri of black fruits, cacao and graphite, with a whiff of cigar box. At this price it's worth loading up by the case.                      ",Vintner's Blend #18,90,18.0,Oregon,Umpqua Valley,Southern Oregon,Red Blends,Abacela
US,"
                      Fleshy in defined flavors of peach and pear, this is a bright white wine, defined by perfumed aromas of jasmine and white flower. Fresh acidity supports a moderate structure of balanced ripeness.                      ",Musque,90,42.0,California,Coombsville,Napa,Chardonnay,Ancien
US,"
                      The production of this well-made wine keeps bumping up, while the price and quality remain consistent. Pungent, peppery fruit flavors center around bright cranberry and plenty of citrus. There's a gentle touch of cinnamon candy also, adding extra life to the finish.                      ",,90,27.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Argyle
US,"
                      This wine opens with a nutty, woody nose that delves quickly into a brazen blue-fruit flavor. Clove and pepper season it well and contribute to its length and depth.                      ",Dutton Ranch,90,43.0,California,Russian River Valley,Sonoma,Pinot Noir,Au Contraire
US,"
                      This is a full-bodied grippy wine with deep black-fruit flavors and a very firm texture due to significant tannins and good acidity. It shows black-cherry, sour-cherry and cedar aspects that are tightly wrapped.                      ",,87,25.0,California,California,California Other,G-S-M,Resign
Italy,"
                      This has aromas of red berry, thyme and adhesive bandage that carry over to the dry, linear palate. It's crisp, with vibrant acidity, while a refined perlage softens the finish.                      ",Cavaliere Nero Extra Brut Riserva,87,45.0,Northeastern Italy,Trento,,Sparkling Blend,Revi
US,"
                      Turned earth and baked strawberry highlight this lightly ripe wine, which is seasoned distinctively in mint and dried herb.                      ",Estate Grown,87,45.0,California,Carneros,Napa-Sonoma,Pinot Noir,Schug
US,"
                      This bold and bright wine has a hot-pink color that's almost fluorescent, followed by fruity candied aromas and ripe cherry flavors.                      ",Rosé of,87,28.0,California,Sierra Foothills,Sierra Foothills,Syrah,Spicy Vines
France,"
                      This wine comes from a new regional appellation that spans southern Burgundy and Beaujolais. The wine is soft and fruity, with the Gamay in the blend showing strongly. With attractive red fruits and gentle tannins, it is ready to drink.                      ",Buissonnier Pinot Noir-Gamay,87,15.0,Burgundy,Coteaux Bourguignons,,Red Blends,Vignerons de Buxy
US,"
                      A dense juicy core of tannin and oak rides beneath dark cherry, cassis and cinnamon in this relatively light-bodied wine, softened by the addition of 8% Cabernet Franc, 7% Malbec, 6% Merlot and 3% Petit Verdot.                      ",,87,30.0,California,Sonoma Valley,Sonoma,Cabernet Sauvignon,Schug
Spain,"
                      This leads with tire rubber, asphalt and beef jerky aromas, seeming smoky, savory and oaky. Grippy tannins frame its slightly stewed berry flavors. It finishes on notes of licorice, smoked meat and baked blackberry.                      ",Roble,87,20.0,Northern Spain,Ribera del Duero,,Tempranillo,Señorío de Sotillo
US,"
                      Nearly equal parts Cabernet Sauvignon and Malbec make up the core of this blend, along with 23% Syrah and 10% Petit Verdot. Simple in structure and approach, it's approachable rich and round, with a sweet tannin profile and dark cherry flavors.                      ",MoJo,87,44.0,California,Sonoma County,Sonoma,Red Blends,Spann Vineyards
Kosovo,"
                      This ruby colored Cabernet Sauvignon has aromas of cherry and cinnamon, with flavors of black cherry and black plum. The tannins are smooth and pleasant.                      ",,87,6.0,Rahoveci Valley,,,Cabernet Sauvignon,Stone Castle
Kosovo,"
                      This garnet colored wine has aromas of black plum, cherry and leather. The palate is bolstered by smooth tannins, with flavors of ripe cherry and black plum.                      ",Reserve,87,15.0,Rahoveci Valley,,,Cabernet Sauvignon,Stone Castle
Italy,"
                      This Nero d'Avola opens with aromas suggesting mocha, tilled soil and dark berry. The dense palate offers black plum, espresso and clove alongside rather firm tannins.                      ",,87,15.0,Sicily & Sardinia,Sicilia,,Nero d'Avola,Tenute Orestiadi
France,"
                      Quite heady notes of lime marmalade bundle with ripe and juicy pear on the nose before unfolding into an unashamed sweetness on the impactful palate. The inherent power of this wine is undeniable, the body is immensely concentrated, dense with fruit but also with the zestiness of lime which counters the sweetness. A pleasantly bitter, almost pithy and salty texture makes the mouth water and tingle. The finish is medium sweet and packs a real punch. Drink 2025–2035.                      ",Rangen Clos Saint-Théobald Grand Cru,94,49.0,Alsace,Alsace,,Pinot Gris,Domaine Schoffit
France,"
                      The golden hue and ample rich earthy aroma with its juicy hints of autumnal generosity immediately suggest some development. The flavors are evolved on the palate, too. Ripe pear fruit has muted into a rounded mellowness while freshness still pervades this smooth balance. The wine is dry but brings notions of richness and understated power. The finish is dry and wonderfully balanced, still tingling with freshness. Drink until 2030.                      ",Kanzlerberg Grand Cru,94,62.0,Alsace,Alsace,,Pinot Gris,Gustave Lorentz
France,"
                      A balm-like combination of honey, lemon oil, chamomile tincture and baked apple washes over the senses with just one sniff. This aromatic richness is reprised on the concentrated palate but finds a perfect counterpoint in the resulting dryness. Bright, pure lemon guides and frames with its freshness while the aromas swirl and swish—oh the joy of mature Riesling! The finish is dry with pronounced lemon. Drink through 2028                      ",Altenberg de Bergheim Grand Cru,94,50.0,Alsace,Alsace,,Riesling,Gustave Lorentz
England,"
                      The vanilla and Golden Delicious richness on the nose immediately suggests the roundness of oak. The vanilla notes attain extra creaminess on the palate but are countered by exquisite lemon freshness and a developed autolytic background that suggests the richness of butter pastry. Creaminess reigns on the midpalate but it is the pure bright ripe lemon that dominates the long finish. This is lovely now but will continue developing. Drink now–2025.                      ",Kings Cuvée,94,145.0,England,,,Champagne Blend,Hattingley Valley Wines
